Авторы,Название,Цена,"Год издания",Изображение,"Стоимость доставки"
"Робсон  Э","Изучаем HTML, XHTML и CSS 2-е изд.","1 889 руб.",2019,https://cdn.book24.ru/v2/ITD000000000959549/COVER/cover1.jpg,"От 100 руб."
"Сайфан  Д","Осваиваем Kubernetes. Оркестрация контейнерных архитектур","2 039 руб.",2019,https://cdn.book24.ru/v2/ITD000000000959557/COVER/cover1.jpg,"От 100 руб."
"Бенгфорт Б","Прикладной анализ текстовых данных на Python. Машинное обучение и создание приложений обработки естественного языка","1 059 руб.",2019,https://cdn.book24.ru/v2/ITD000000000959553/COVER/cover1.jpg,"От 100 руб."
"Без автора","Vue.js в действии","1 400 руб.",2019,https://cdn.book24.ru/v2/ITD000000000973596/COVER/cover1.jpg,"От 100 руб."
"Мардан А.","React быстро. Веб-приложения на React, JSX, Redux и GraphQL Предисловие Джона Сонмеза","1 404 руб.",2019,https://cdn.book24.ru/v2/ITD000000000973597/COVER/cover1.jpg,"От 100 руб."
"Бэнкс  А.","GraphQL: язык запросов для современных веб-приложений","931 руб.",2019,https://cdn.book24.ru/v2/ITD000000000973594/COVER/cover1.jpg,"От 100 руб."
"Бейер  Б","Site Reliability Engineering. Надежность и безотказность как в Google","1 702 руб.",2018,https://cdn.book24.ru/v2/ITD000000000934365/COVER/cover1.jpg,"От 100 руб."
"Доуни  А","Алгоритмы и структуры данных. Извлечение информации на языке Java","913 руб.",2018,https://cdn.book24.ru/v2/ITD000000000934366/COVER/cover1.jpg,"От 100 руб."
"Бейдер Д","Чистый Python. Тонкости программирования для профи","1 098 руб.",2018,https://cdn.book24.ru/v2/ITD000000000934368/COVER/cover1.jpg,"От 100 руб."
"Керриск М","Linux API. Исчерпывающее руководство","3 036 руб.",2018,https://cdn.book24.ru/v2/ITD000000000934370/COVER/cover1.jpg,"От 100 руб."
"Прайс М","C# 7 и .NET Core. Кросс-платформенная разработка для профессионалов. 3-е издание","1 806 руб.",2018,https://cdn.book24.ru/v2/ITD000000000924638/COVER/cover1.jpg,"От 100 руб."
"Симпсон К","{Вы не знаете JS} Замыкания и объекты","983 руб.",2019,https://cdn.book24.ru/v2/ITD000000001044767/COVER/cover1.jpg,"От 100 руб."
"Вехен Д","Безопасный DevOps. Эффективная эксплуатация систем","1 532 руб.",2019,https://cdn.book24.ru/v2/ITD000000001055772/COVER/cover1.jpg,"От 100 руб."
"Террелл  Р","Конкурентность и параллелизм на платформе .NET. Паттерны эффективного проектирования","1 773 руб.",2019,https://cdn.book24.ru/v2/ITD000000001011205/COVER/cover1.jpg,"От 100 руб."
"Без автора","Высокопроизводительный код на платформе .NET. 2-е издание","1 764 руб.",2019,https://cdn.book24.ru/v2/ITD000000001044778/COVER/cover1.jpg,"От 100 руб."
"Траск Э","Грокаем глубокое обучение","892 руб.",2019,https://cdn.book24.ru/v2/ITD000000001051762/COVER/cover1.jpg,"От 100 руб."
"Симпсон К","{Вы не знаете JS} Типы и грамматические конструкции","983 руб.",2019,https://cdn.book24.ru/v2/ITD000000001044768/COVER/cover1.jpg,"От 100 руб."
"Дэвидсон-Пайлон  К","Вероятностное программирование на Python: байесовский вывод и алгоритмы","1 573 руб.",2019,https://cdn.book24.ru/v2/ITD000000001044769/COVER/cover1.jpg,"От 100 руб."
"Парасрам Ш","Kali Linux. Тестирование на проникновение и безопасность","2 126 руб.",2019,https://cdn.book24.ru/v2/ITD000000001051775/COVER/cover1.jpg,"От 100 руб."
"Николенко С И","Глубокое обучение","760 руб.",2019,https://cdn.book24.ru/v2/ITD000000001059233/COVER/cover1.jpg,"От 100 руб."
"Васильев А Н","Java для всех","868 руб.",2019,https://cdn.book24.ru/v2/ITD000000001059235/COVER/cover1.jpg,"От 100 руб."
,"Современный язык Java. Лямбда-выражения, потоки и функциональное программирование","1 877 руб.",2019,https://cdn.book24.ru/v2/ITD000000001067605/COVER/cover1.jpg,"От 100 руб."
,"Классические задачи Computer Science на языке Python","986 руб.",2019,https://cdn.book24.ru/v2/ITD000000001070778/COVER/cover1.jpg,"От 100 руб."
"Скин Д","Kotlin. Программирование для профессионалов","1 602 руб.",2019,https://cdn.book24.ru/v2/ITD000000001051769/COVER/cover1.jpg,"От 100 руб."
"Хавербеке М","Выразительный JavaScript. Современное веб-программирование. 3-е издание","1 815 руб.",2019,https://cdn.book24.ru/v2/ITD000000001051771/COVER/cover1.jpg,"От 100 руб."
"Макмахан Б., Рао Д.","Знакомство с PyTorch: глубокое обучение при обработке естественного языка","1 120 руб.",2019,https://cdn.book24.ru/cdn2014/no_pic_book24.jpg,"От 100 руб."
"Гриффитс Д., Гриффитс Д.","Head First. Kotlin","1 672 руб.",2019,https://cdn.book24.ru/cdn2014/no_pic_book24.jpg,"От 100 руб."
"Бернхард К.","Квантовые вычисления для настоящих айтишников","995 руб.",2019,https://cdn.book24.ru/cdn2014/no_pic_book24.jpg,"От 100 руб."
"Грин Д., Стиллмен Э.","Head First. Изучаем C#. 3-е изд. Включая C# 5.0, Visual Studio 2012 и .NET 4.5 Framework","1 584 руб.",2019,https://cdn.book24.ru/cdn2014/no_pic_book24.jpg,"От 100 руб."
"Меджуи М., Уайлд Э., Митра Р., Амундсен М.","Непрерывное развитие API. Правильные решения в изменчивом технологическом ландшафте","1 902 руб.",2019,https://cdn.book24.ru/cdn2014/no_pic_book24.jpg,"От 100 руб."
"Форд М.","Архитекторы интеллекта: вся правда об искусственном интеллекте от его создателей","1 021 руб.",2019,https://cdn.book24.ru/cdn2014/no_pic_book24.jpg,"От 100 руб."
"Нихиль Будума","Основы глубокого обучения. Создание алгоритмов для искусственного интеллекта следующего поколения","1 361 руб.",,https://ndc.book24.ru/iblock/1cc/1cc8eb70cbfffc4b62351c4a40ae229d/57aafc87dd19e6e761a347a0f336542c.jpg,"От 100 руб."
"Форсгрен Н.,Хамбл Д.,Ким Д.","Книга: ""Ускоряйся! Наука DevOps. Как создавать и масштабировать высокопроизводительные цифровые организации""","787 руб.",2020,https://cdn.book24.ru/v2/ITD000000001089314/COVER/cover1.jpg,"От 100 руб."
"Бруссард М.","Искусственный интеллект: Пределы возможного","621 руб.",2020,https://cdn.book24.ru/v2/ITD000000001089334/COVER/cover1.jpg,"От 100 руб."
"Гейг Майк","Разработка игр на Unity 2018 за 24 часа","1 099 руб.",2020,https://cdn.book24.ru/v2/ITD000000001044838/COVER/cover1.jpg,"От 100 руб."
"Джон Брокман","Искусственный интеллект - надежды и опасения","446 руб.",2020,https://cdn.book24.ru/v2/ASE000000000844327/COVER/cover1.jpg,"От 100 руб."
"Нистрем Роберт","Паттерны игрового программирования","854 руб.",,https://cdn.book24.ru/cdn2014/no_pic_book24.jpg,"От 100 руб."
